epoch,train_loss,AP@0.3,AP@0.5,F1,precision,recall,best_conf,all/AP@0.3,all/AP@0.5,all/F1,all/precision,all/recall,all/best_conf,val_loss,ema/AP@0.3,ema/AP@0.5,ema/F1,ema/precision,ema/recall,ema/best_conf,ema/all/AP@0.3,ema/all/AP@0.5,ema/all/F1,ema/all/precision,ema/all/recall,ema/all/best_conf,ema/val_loss,sel,sel_smoothed
1,7.102752230888489,0.3028165430057817,0.17896490171192148,0.27964601769911507,0.4165202108963093,0.21047957371225579,0.22,0.2981030547597182,0.1769386350708615,0.2781562216167121,0.3854625550660793,0.21758436944937834,0.21,8.552094119660397,0.33233765691037664,0.1844630060727008,0.27370948379351745,0.4222222222222222,0.2024866785079929,0.24,0.3298840560353029,0.1830945307418297,0.2735687350017141,0.38353091957705865,0.21261101243339253,0.23,8.432469658817805,0.27624962703570205,0.27624962703570205
2,6.864165738277158,0.271446844244782,0.16865610223239122,0.27232142857142855,0.3663663663663664,0.216696269982238,0.36,0.26772470240891044,0.16528809729278035,0.2702118460873325,0.3451131971286582,0.22202486678507993,0.34,8.508620169145841,0.31579880097134083,0.1839129988476016,0.27925840092699883,0.40166666666666667,0.21403197158081705,0.31,0.3104755969203538,0.1813266588434285,0.2764154141710928,0.37993165579372473,0.2172291296625222,0.3,8.418662828756563,0.26892498032535067,0.27258730368052636
3,6.750694060518034,0.2846850924353754,0.19077270508916266,0.3048245614035088,0.3982808022922636,0.2468916518650089,0.4,0.2817597103057274,0.18519335974491968,0.2974991110584331,0.4470965443534022,0.22291296625222023,0.45,8.659690777460733,0.30021940062656727,0.17800449803647792,0.28194842406876786,0.3974151857835218,0.21847246891651864,0.37,0.29788082295068496,0.17661812147704317,0.2790217016879091,0.3946086391685612,0.21580817051509768,0.37,8.493881964514442,0.25990073453798057,0.2683584472996778
4,6.694022668289708,0.30679532046291336,0.18584584308247623,0.2806210465784934,0.39804241435562804,0.216696269982238,0.48,0.3053475857956855,0.18462217882093274,0.28200972447325773,0.40492021276595747,0.2163410301953819,0.48,8.752251596315533,0.31028548839995607,0.1924427439463172,0.29290106204583566,0.3951734539969834,0.23268206039076378,0.41000000000000003,0.30680457891525975,0.186953138764704,0.2877630186904902,0.4254431699687174,0.21740674955595027,0.44,8.558802006092478,0.27145577979304036,0.26676049821879055
5,6.608724477181978,0.3016018072156308,0.2082268403604406,0.2983050847457627,0.40993788819875776,0.2344582593250444,0.41000000000000003,0.29826904523093983,0.2044767791978779,0.29422842583361025,0.3909331763320577,0.23587921847246893,0.4,8.49851859714968,0.3196080406341611,0.1960985562700815,0.2884731442365721,0.4500941619585687,0.21225577264653642,0.49,0.31654505235078867,0.19242261675163147,0.2847752083577884,0.41986846659743854,0.21545293072824157,0.47000000000000003,8.591263021983153,0.2763282160454194,0.2692282434588134
6,6.528168183654913,0.3158051889733464,0.21257457071511374,0.291005291005291,0.3599476439790576,0.24422735346358793,0.41000000000000003,0.3149250457186196,0.20483767207383047,0.2846361185983828,0.36213991769547327,0.2344582593250444,0.42,8.615044108519317,0.32289226875732685,0.2038815199971438,0.2883369330453564,0.3677685950413223,0.23712255772646537,0.43,0.31979876902986204,0.19822029151558399,0.28326577880718007,0.4069883527454243,0.2172291296625222,0.47000000000000003,8.604329180210195,0.28027797698687784,0.2760206576084459
7,6.468459669736457,0.34538464594915486,0.2148668218603747,0.29577464788732394,0.4359861591695502,0.22380106571936056,0.5,0.34159581510373743,0.21044907003627178,0.29226767557342165,0.43705799151343705,0.21953818827708704,0.5,8.796866401712945,0.34033295569092964,0.21410417075507032,0.2910488742449204,0.381294964028777,0.2353463587921847,0.45,0.3361220537472276,0.21037582715365807,0.28624986216782444,0.3774353009595813,0.230550621669627,0.45,8.597441416260198,0.29260750392097,0.2830712323177557
8,6.423202704438112,0.3225282315805206,0.20680737383563297,0.29221148379761225,0.4060031595576619,0.22824156305506216,0.48,0.31870559061233167,0.20629142108305198,0.2866726296958855,0.3868436934218467,0.22770870337477797,0.47000000000000003,8.699075394488396,0.3412163569088957,0.21730080291842263,0.2899628252788104,0.47950819672131145,0.20781527531083482,0.52,0.337729372549633,0.2103611777592374,0.2842031029619182,0.4200833912439194,0.2147424511545293,0.49,8.629318276195661,0.2937909843857367,0.28889215509786154
9,6.384203601216129,0.3449150662107117,0.21611741405020665,0.28298279158699813,0.5011286681715575,0.19715808170515098,0.51,0.3445581459572895,0.2162671815414009,0.2833394450556167,0.45433163465307724,0.20586145648312612,0.49,8.566312649571303,0.34890193827842425,0.2159524731955686,0.28923076923076924,0.4709418837675351,0.20870337477797513,0.52,0.3435640730848279,0.2080607080846526,0.2836208934058142,0.423728813559322,0.21314387211367672,0.5,8.68099269799307,0.2970828649440366,0.29449378441691443
10,6.321512171957163,0.35409209316000073,0.21075091603130605,0.2802547770700637,0.4954954954954955,0.19538188277087035,0.5,0.34873620147476025,0.20428808816187366,0.2748042475597983,0.346872461413485,0.2275310834813499,0.43,8.612412045187984,0.3503545817108152,0.21879694740319822,0.29049676025917925,0.37052341597796146,0.238898756660746,0.46,0.3455565161629184,0.20978917369593025,0.2830147697654214,0.36416992733370596,0.2314387211367673,0.46,8.682959480488554,0.2989157271282029,0.2965965254859921
