Run: dataset2_augs
Path: /home/dsa/stenosis/rfdetr_runs/dataset2_augs
Config: T=1 (single-frame)  img_size=512  num_classes=1

==========================================================================================
Dataset: cadica_50plus_new
  videos=160  frames=2215
==========================================================================================

Per-video metrics:
  video          frames   gt    AP30   AP50   AP75 AP5095      F1      P      R    thr   Frag  FragRt
  p23_v10            24   24   0.015  0.000  0.000  0.000   0.001  0.000  0.125  0.000      1  0.0417
  p23_v11             6    4   0.267  0.092  0.004  0.023   0.222  0.143  0.500  0.230      0  0.0000
  p23_v13            13   13   0.095  0.006  0.000  0.001   0.065  0.056  0.077  0.290      0  0.0000
  p23_v18            18   17   0.406  0.056  0.000  0.011   0.205  0.182  0.235  0.290      0  0.0000
  p23_v5             12   12   0.184  0.041  0.000  0.011   0.130  0.088  0.250  0.200      1  0.0833
  p24_v12             9   36   0.241  0.061  0.000  0.010   0.169  0.217  0.139  0.200      1  0.0278
  p24_v15            29   87   0.496  0.410  0.070  0.149   0.464  0.547  0.402  0.220      2  0.0230
  p24_v18            14   14   0.106  0.094  0.023  0.043   0.173  0.096  0.929  0.070      0  0.0000
  p24_v2             25  100   0.407  0.367  0.086  0.162   0.479  0.619  0.390  0.200      2  0.0200
  p24_v22            13   13   0.143  0.143  0.052  0.060   0.256  0.151  0.846  0.130      1  0.0769
  p24_v23            19   19   0.685  0.000  0.000  0.000   0.001  0.000  0.053  0.000      0  0.0000
  p24_v3             20   20   0.204  0.198  0.021  0.076   0.236  0.144  0.650  0.130      1  0.0500
  p24_v4             29  167   0.246  0.147  0.007  0.039   0.234  0.195  0.293  0.090      1  0.0060
  p24_v5              6   35   0.206  0.113  0.031  0.043   0.246  0.267  0.229  0.140      0  0.0000
  p25_v10             9    9   0.972  0.725  0.038  0.180   0.706  0.750  0.667  0.410      1  0.1111
  p25_v14             9    9   0.038  0.032  0.005  0.012   0.080  0.045  0.333  0.080      0  0.0000
  p25_v17             9    6   0.042  0.034  0.004  0.008   0.086  0.047  0.500  0.090      0  0.0000
  p25_v5             15   15   0.002  0.000  0.000  0.000   0.001  0.001  0.133  0.000      0  0.0000
  p25_v6             18   18   0.086  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p25_v7             30   30   0.107  0.005  0.000  0.001   0.033  0.022  0.067  0.140      1  0.0333
  p25_v8             21   21   0.175  0.024  0.000  0.003   0.107  0.086  0.143  0.190      1  0.0476
  p26_v1             13   11   0.742  0.254  0.000  0.060   0.471  0.667  0.364  0.430      0  0.0000
  p26_v2              4    4   0.440  0.335  0.000  0.100   0.400  1.000  0.250  0.310      0  0.0000
