AP@0.3,AP@0.5,AP@0.5:0.95,AP@0.75,F1,best_conf,epoch,epoch_seconds,loss_cls,loss_giou,loss_l1,loss_num,n_centre_frames,precision,recall,sel,sel_smoothed,train_loss,val_loss
0.007662785587185093,0.0020078380701875013,0.0010188440610545816,0.0008890053650240415,0.006911447084233261,0.17,1,2965.4749269485474,1.0534088450271202,0.870732956996651,0.10824710782349349,0.01709828085006827,1126,0.00672834314550042,0.007104795737122558,0.00581603363149545,0.00581603363149545,8.87522193243516,0.0
0.05434946548933198,0.01808267194614955,0.004601942993343949,0.0005317608890107118,0.0813008130081301,0.21,2,3109.228716611862,0.39442030590977295,0.7451305354359555,0.07594478179899157,0.0,1126,0.0720658888126287,0.09325044404973357,0.04885969693013688,0.027337865280816165,4.996388496923602,0.0
0.09038386007766047,0.04186881654816513,0.01027356795563348,0.0014481818171672822,0.13694430250383238,0.22,3,3092.634613752365,0.3345052164263056,0.7397138541601863,0.07632922491249153,0.0004028390729276411,1126,0.16125150421179302,0.11900532859680284,0.08514143550404625,0.04660572202189286,4.636774390301319,0.0
0.1244151509233726,0.05593059816566399,0.014081293822357732,0.0021485123021499925,0.1648495420846053,0.22,4,3158.6440620422363,0.330734601831387,0.7981771675131267,0.09057562246292675,0.011560841937474914,1126,0.16195372750642673,0.16785079928952043,0.11195666332830656,0.0819859319208299,4.788631466330069,0.0
0.16559279891543974,0.07839331659751922,0.019055909215711563,0.0020533628924692933,0.1997019374068554,0.31,5,3209.1112127304077,0.276777802502571,0.7483021406152759,0.0780181061528636,0.03737451387156618,1126,0.2266065388951522,0.17850799289520428,0.1462547819183467,0.11445096025023316,4.327835382620341,0.0
0.1544579479591369,0.0803107004852984,0.020024524761823422,0.003848499748699446,0.21367948077883175,0.34,6,3298.2648599147797,0.2429878248061514,0.7374253640951453,0.07896929992169553,0.03602532264429046,1126,0.24401368301026224,0.19005328596802842,0.14405808028092432,0.13408984184252587,4.058645289757877,0.0
0.1999254531408362,0.11163614925775936,0.029334905915899122,0.0060762116392593536,0.22880080280983442,0.37,7,3222.145738840103,0.2063895567219705,0.6762482240816099,0.06838641108853184,0.028787007885875203,1126,0.2629757785467128,0.2024866785079929,0.1792137319097128,0.1565088647029946,3.625248889764851,0.0
0.20130787100863778,0.11148149831275858,0.029199473030030943,0.005318338461119098,0.2285714285714286,0.43,8,3204.649397134781,0.1922958969268444,0.6197705703231714,0.060514532647056495,0.025161456241674898,1126,0.2753441802252816,0.19538188277087035,0.17981267071243218,0.16769482763435642,3.238463227108118,0.0
0.19856943499792912,0.10943024554709975,0.02834410056108099,0.0065605066742610175,0.22860180754917597,0.49,9,3195.5082960128784,0.182605251321866,0.5757296840277418,0.05417257701521091,0.021465567629316274,1126,0.2847682119205298,0.19094138543516873,0.17783415267292968,0.17895351843169158,3.037075257086374,0.0
0.2140779853391116,0.11593215443445935,0.030004862146797512,0.004477210285537777,0.23622047244094488,0.55,10,3249.6411118507385,0.17453506845089758,0.6053347322034351,0.0640425866133157,0.021619030120629806,1126,0.3220858895705521,0.18650088809946713,0.18906273348808258,0.1822365189578148,3.1658864169483927,0.0
0.20826866886272244,0.10244867733147077,0.027276681696390144,0.004073385429415411,0.2220988339811216,0.55,11,3235.9823620319366,0.17365314432543286,0.5039221738044758,0.04669170640194608,0.02076859207158923,1126,0.2962962962962963,0.17761989342806395,0.17928870442702677,0.18206186352934636,2.7090756405161365,0.0
0.20552371943904316,0.10564230364547628,0.02830677981755475,0.0042493404651738715,0.22844344904815228,0.53,12,3193.062463760376,0.1438477733974632,0.48549028261767085,0.044853128541426035,0.015825820630482376,1126,0.3090909090909091,0.1811722912966252,0.1801432406227949,0.18283155951263477,2.50574055981229,0.0
0.21089120822224833,0.11614818482204,0.028791553360852568,0.005312653722969868,0.24017467248908297,0.49,13,2936.678564310074,0.13750539509916837,0.46122399332105785,0.04171313672618961,0.01576187788622635,1126,0.311614730878187,0.19538188277087035,0.18832499405555275,0.18258564636845817,2.3995845102884252,0.0
0.20665735730366938,0.10119872026689959,0.02661882965312986,0.007357051695358938,0.22739291380222104,0.45,14,2991.631567001343,0.1318182738935734,0.45204203272423815,0.04071986646427718,0.014240041415893297,1126,0.28104575163398693,0.19094138543516873,0.17916687749234878,0.18254503739023212,2.3410182847826673,0.0
0.19556422384435285,0.09526562232518947,0.024376847360030488,0.006455216373887751,0.22535211267605632,0.4,15,2974.9522755146027,0.1297770985001089,0.4390928903800065,0.03930907249118387,0.013894750768990154,1126,0.25986078886310904,0.1989342806394316,0.17143222115494453,0.179641364234282,2.2911329296736076,0.0
